"Freq [GHz]","Phi [deg]","Theta [deg]","db(GainPhi) []"
29,0,10,2.70691704104164
29,0,12,2.59888379358651
29,0,14,2.45201492207156
29,0,16,2.26936651862314
29,0,18,2.05912985822241
29,0,20,1.83432103210826
29,0,22,1.61048179737628
29,0,24,1.40108894459754
29,0,26,1.21175183788311
29,0,28,1.03591416220725
29,0,30,0.85498126629076
29,0,32,0.643691716211297
29,0,34,0.378819722340104
29,0,36,0.0483117729292257
29,0,38,-0.341340366990451
29,0,40,-0.761464938336397
29,0,42,-1.16476927635958
29,0,44,-1.50028220344053
29,0,46,-1.73789547898067
29,0,48,-1.8882034186355
29,0,50,-2.0009184933256
29,0,52,-2.14310164358006
29,0,54,-2.37428231232602
29,0,56,-2.73037029624449
29,0,58,-3.215912188237
29,0,60,-3.8004696402879
29,0,62,-4.41967159129426
29,0,64,-4.98860238030389
29,0,66,-5.43407468944134
29,0,68,-5.73231951528137
29,0,70,-5.91945272052728
29,0,72,-6.06414208660851
29,0,74,-6.23054081615034
29,0,76,-6.45812784805076
29,0,78,-6.75985515713908
29,0,80,-7.12869870809514
29,0,82,-7.54512057058545
29,0,84,-7.98228624145542
29,0,86,-8.40887068715736
29,0,88,-8.79193155020695
29,0,90,-9.10399143300861
29,0,92,-9.33588981139274
29,0,94,-9.50930858026457
29,0,96,-9.67825017942661
29,0,98,-9.91597223007155
29,0,100,-10.2951302077731
29,0,102,-10.8695286750967
29,0,104,-11.657100403987
29,0,106,-12.6164001652296
29,0,108,-13.6132539925511
29,0,110,-14.4108080797384
29,0,112,-14.7760389133959
29,0,114,-14.6877808369199
29,0,116,-14.3671981214647
29,0,118,-14.0864389669268
29,0,120,-14.0387155141899
29,0,122,-14.3300586982838
29,0,124,-14.9945481366247
29,0,126,-15.9802661155714
29,0,128,-17.1014555980797
29,0,130,-18.0193651252063
29,0,132,-18.4015339752315
29,0,134,-18.1773893249514
29,0,136,-17.5011702674475
29,0,138,-16.5744504982373
29,0,140,-15.620945645361
29,0,142,-14.8712146441062
29,0,144,-14.5032856826019
29,0,146,-14.6007281675544
29,0,148,-15.0963998626351
29,0,150,-15.6221081380395
29,0,152,-15.4513390742002
29,0,154,-14.2293162823247
29,0,156,-12.5125359554897
29,0,158,-10.9062135141007
29,0,160,-9.64441147779916
29,0,162,-8.75960564457937
29,0,164,-8.22019074168951
29,0,166,-7.97861619996632
29,0,168,-7.98240616759702
29,0,170,-8.17297917543782
29,0,172,-8.48157685512301
29,0,174,-8.82754184717511
29,0,176,-9.12379115827554
29,0,178,-9.29247278933434
29,0,180,-9.28703514729931
